Chip,SITE_ID,T2MIN,T2MAX,T2MEAN,TSMDEWMEAN,GWETROOT,LHLAND,SHLAND,SWLAND,PARDFLAND,PRECTOTLAND,GPP,date,year,month,doy,TILE_ID_x,Satellite,TILE_ID_y,num_nan,b2,b3,b4,b5,b6,b7,NDVI,EVI,GCI,NDWI,NIRv,kNDVI,PFT_CRO,PFT_DBF,PFT_ENF,PFT_GRA,PFT_SH-SA,PFT_WET,PFT,koppen_Arid,koppen_Cold,koppen_Polar,koppen_Temperate,koppen_Tropical,koppen
HLS.S30.T17SQD.2021338T160641.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,273.1,287.27,278.43,274.17,0.55,20.37,15.05,98.48,13.400975,0.0,1.43181,2021-12-04,2021,12,338,T17SQD,S30,T17SQD,0,0.043521000000000004,0.07262868000000001,0.07741452,0.3161472,0.24025168000000002,0.14012016000000002,0.6065952755771065,0.4104116990498085,-0.061820960718996676,0.1364048755813455,0.1917733979069306,0.3522041558684023,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T15SWD.2018147T164642.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,293.94,308.03,300.39,294.1,0.59,159.38,21.07,272.3,26.451788,2e-06,10.822,2018-05-27,2018,5,147,T15SWD,L30,T15SWD,0,0.04984392,0.0833634,0.08209095999999999,0.3457148,0.26111692000000003,0.16780644000000003,0.616223213076888,0.45004478052761454,0.015500366910071728,0.13940912647084427,0.2130374848642337,0.36247387552682625,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2018179T164653.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,295.81,306.89,300.89,296.11,0.57,94.64,2.65,153.86,45.462494,3.9e-05,9.91228,2018-06-28,2018,6,179,T15SWD,L30,T15SWD,0,0.042219480000000004,0.07676384,0.07069144,0.36089768000000005,0.23324184,0.11854456000000001,0.67241324341077,0.4940857336564552,0.08590007503030073,0.2148583551553683,0.2426723795482222,0.4236561455289035,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2018291T164742.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,274.31,289.97,281.26,275.51,0.64,54.15,28.96,164.65,15.173858,0.0,0.642227,2018-10-18,2018,10,291,T15SWD,L30,T15SWD,0,0.04196528000000001,0.06439796,0.07638044000000001,0.19638556000000004,0.25020636,0.16862304,0.43995629953879883,0.22390207955856756,-0.1568789077413013,-0.12051449564963014,0.08640106426045477,0.19117990122868259,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2019070T164728.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,270.35,284.11,275.44,270.78,0.86,44.62,35.86,164.95,27.202898,0.0,0.0492259,2019-03-11,2019,3,70,T15SWD,L30,T15SWD,0,0.06264220000000001,0.09014416000000001,0.11788196000000001,0.20519708,0.24968728,0.16860752,0.27025931487229876,0.15130795395994073,-0.23530148294107078,-0.09780551698897717,0.05545642225459628,0.07291048771843524,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2019102T164720.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,273.99,285.78,280.12,272.61,0.83,133.3,46.84,257.5,20.341257,0.0,0.086461,2019-04-12,2019,4,102,T15SWD,L30,T15SWD,0,0.06801367999999999,0.09893452,0.11949947999999999,0.24783180000000002,0.32636648000000007,0.24508456,0.349363985555491,0.22054378787242207,-0.1720924643354096,-0.13677275382991402,0.08658350539539134,0.12145267997317395,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2019182T164745.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,294.22,303.05,299.05,295.06,0.74,121.84,-10.64,160.04,59.595856,0.0,11.1291,2019-07-01,2019,7,182,T15SWD,L30,T15SWD,0,0.06841596,0.11230012000000002,0.11986332000000002,0.38785724000000005,0.32810556,0.216415,0.5278374387674983,0.42033845341025367,-0.06309853589905567,0.08345640304216927,0.20472557216903092,0.27162030400262016,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2019198T164748.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,294.98,304.19,299.8,296.13,0.66,133.92,5.19,189.68,55.876434,7.5e-05,9.60883,2019-07-17,2019,7,198,T15SWD,L30,T15SWD,0,0.0451382,0.07790912000000001,0.072202,0.37638772000000004,0.25572488000000004,0.1413198,0.6780933811858195,0.5169487549284252,0.07904379380072579,0.1908882056772796,0.2552260216916215,0.42992986000240074,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2020105T164727.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,272.58,282.09,276.69,269.66,0.82,81.11,73.7,217.29,36.567795,0.0,0.683047,2020-04-14,2020,4,105,T15SWD,L30,T15SWD,0,0.06697528,0.09646400000000001,0.11479600000000001,0.25423524,0.29145331999999996,0.20675936,0.3778521298088475,0.24196495661987516,-0.1596919753301509,-0.0682038853810679,0.09606332690646349,0.1418099914764997,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2020121T164719.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,279.53,292.83,285.92,280.86,0.84,148.82,24.95,277.6,22.075022,1e-06,3.57699,2020-04-30,2020,4,121,T15SWD,L30,T15SWD,0,0.0481808,0.07910972000000002,0.08974724,0.24800583999999998,0.23279596000000002,0.148569,0.4685630105874978,0.27762070085122137,-0.11852754469106774,0.031634407358707796,0.11620636303368127,0.21609035018657413,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2020153T164721.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,288.76,300.04,293.68,289.36,0.76,152.01,-1.36,211.01,59.12183,0.0,10.6566,2020-06-01,2020,6,153,T15SWD,L30,T15SWD,0,0.060764599999999995,0.09857928,0.10476088,0.33828436,0.29671704000000004,0.20103516,0.527087211229264,0.38634296258854245,-0.05900675901156993,0.06546020213498735,0.1783053599148764,0.2708871030743679,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2020233T164755.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,287.11,301.5,293.43,285.77,0.59,117.49,52.58,262.37,19.048697,0.0,9.00312,2020-08-20,2020,8,233,T15SWD,L30,T15SWD,0,0.0206582,0.047090400000000004,0.032444440000000005,0.4405612000000001,0.18523712,0.0823502,0.8628158429569677,0.689250738979531,0.4514166371803612,0.4079973880402875,0.38012318315213334,0.6318269306412636,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2020281T164811.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,285.51,302.76,292.08,286.73,0.56,53.58,13.45,167.92,25.61026,0.0,1.54649,2020-10-07,2020,10,281,T15SWD,L30,T15SWD,0,0.05072808,0.08195392000000001,0.10094115999999999,0.27973808000000006,0.25940132,0.15482940000000003,0.46967867225961696,0.29701976266662283,-0.18810205866467133,0.03772078241731185,0.13138700999485453,0.21708800592961006,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2020345T164812.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,275.31,289.91,280.69,277.37,0.63,17.89,3.62,91.34,15.037076,0.0,0.474875,2020-12-10,2020,12,345,T15SWD,L30,T15SWD,0,0.06570892000000002,0.09084756,0.11615091999999999,0.21438888,0.30135704,0.21042644,0.29720463314856493,0.17313979248877762,-0.21784898475190728,-0.16862597769072027,0.06371736843153171,0.08810158158441053,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2020361T164809.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,267.09,280.38,270.97,268.38,0.64,9.85,-0.86,94.04,10.801139,0.0,0.114584,2020-12-26,2020,12,361,T15SWD,L30,T15SWD,0,0.06698624,0.0917714,0.11787732000000001,0.21071051999999998,0.30052204,0.21424735999999997,0.2825217147414828,0.16394932601506756,-0.2214668606310357,-0.1756764475251733,0.059530297424469504,0.07964944233984023,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2021299T164817.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,276.27,291.16,282.28,277.39,0.59,42.92,36.19,146.73,14.703853,0.0,0.502339,2021-10-26,2021,10,299,T15SWD,L30,T15SWD,0,0.044712919999999996,0.07426212,0.08390064,0.23737516000000006,0.25965344000000007,0.17095164,0.477703331530106,0.27300237414528966,-0.11488017254695548,-0.04482293373057406,0.11339490475449199,0.22432006794913406,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.L30.T15SWD.2021347T164812.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,272.24,286.54,277.26,272.26,0.59,20.15,-6.37,93.47,13.397426,0.0,0.00789372,2021-12-13,2021,12,347,T15SWD,L30,T15SWD,0,0.053494320000000005,0.07933660000000001,0.09931968,0.23662348000000002,0.27355932000000005,0.18077412,0.40871140225030933,0.23981786335624108,-0.2011996011263829,-0.07239726623476923,0.09671071431614804,0.16550841563236168,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.S30.T15SWD.2018154T164849.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,287.83,301.81,295.12,285.33,0.57,153.31,45.29,300.51,23.977081,5e-06,8.81357,2018-06-03,2018,6,154,T15SWD,S30,T15SWD,0,0.0472572,0.08396848,0.08429144,0.34230752000000003,0.27758664000000005,0.17725632,0.6048211650586303,0.43186158987628487,-0.0038314685334596144,0.10440633930153491,0.2070348330547304,0.350320147820647,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.S30.T15SWD.2018189T164901.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,287.71,307.82,297.4,286.96,0.52,82.19,101.1,297.93,24.547287,0.0,9.61365,2018-07-08,2018,7,189,T15SWD,S30,T15SWD,0,0.04353572,0.07726024,0.07337936,0.37222488000000004,0.27143051999999995,0.15950548,0.6706523259293942,0.5027740758889094,0.05288789654202475,0.15659677523097,0.24963348154078965,0.42171366109561353,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.S30.T15SWD.2018194T164859.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,295.81,310.11,302.99,293.02,0.49,68.36,64.15,214.99,49.189209,3e-06,10.9274,2018-07-13,2018,7,194,T15SWD,S30,T15SWD,0,0.04373848,0.07471428000000001,0.07037976000000001,0.37089136000000006,0.26423368,0.14084588000000003,0.6810135229334745,0.5127724660203156,0.06158759279656523,0.16793178237784487,0.2525820316991876,0.43315952814346126,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.S30.T15SWD.2018239T164851.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,296.27,309.55,302.35,293.87,0.52,86.8,67.17,237.37,26.102854,0.0,5.88907,2018-08-27,2018,8,239,T15SWD,S30,T15SWD,0,0.029849560000000004,0.054058480000000006,0.04083200000000001,0.37725416000000006,0.20649895999999998,0.09563564,0.8046718408473506,0.6014522032961043,0.32392437304075217,0.29251269783363226,0.303565799394521,0.5699823976031342,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.S30.T15SWD.2018284T165219.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,277.22,286.05,281.91,276.0,0.65,64.96,57.82,178.77,15.246617,0.0,1.85241,2018-10-11,2018,10,284,T15SWD,S30,T15SWD,0,0.03642328,0.05901264000000001,0.07135724,0.19748596,0.25254920000000003,0.1687096,0.4691534693828967,0.23314775473457594,-0.17299716188574543,-0.12235319569253221,0.09265122328841195,0.21661811568417164,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
HLS.S30.T15SWD.2018294T165329.v2.0.US-Mo2_merged.50x50pixels.tif,US-Mo2,270.38,287.11,277.64,270.15,0.63,52.97,30.88,163.67,13.673454,0.0,0.157131,2018-10-21,2018,10,294,T15SWD,S30,T15SWD,0,0.04284676,0.0652028,0.08053252,0.19432867999999998,0.26526696,0.17951676000000003,0.4140131819260048,0.20977440121766164,-0.19035440589714558,-0.1543493319475355,0.08045463514628036,0.16974774691198072,False,False,False,True,False,False,GRA,False,True,False,False,False,Cold
